STOK_KODU;CARISTOK_KODU;Parça No;Parça No1;Parça No2;Buffer;Depo;Pasif
00708-200;L217142-0;;;L217141;;;5
00694-200;L217845LX2_A-0;;;L217845;Kalacak;;
00691-200;L217905LX2-0;;;L217904;;;5
00717-100;L218085-0;;;L218085_A;Kalacak;;
00665-200;L218166LX2-0;;;L218166LX2;Kalacak;;
00710-200;L219722-0;;;L228258_A;Kalacak;;
00716-100;L220489B-0;;;L220489B;;;5
00727-200;L221469-0;;;L221469_A;Kalacak;;
00757-200;L221748-0;;;L221748;Kalacak;;
00726-100;L221764-0;;;L221764_B;Kalacak;;
00725-200;L222118LX2-0;;;L222119-A;Kalacak;;
00664-200;L222287LX2-0;;;L222287LX2;Kalacak;;
00733-200;L222359-0;;;L222358;Kalacak;;
00731-200;L222361-0;;;L222360;Kalacak;;
00756-200;L222593-0;;;L222593;Kalacak;;
00712-100;L222921-0;;;L222921-A;Kalacak;;
00760-200;L226582-1;#YOK;#YOK;#YOK;;;
00763-200;L226712-0;;;L226712A;;2;
00764-200;L226713-0;;;L226713A;;2;
00777-100;L227072LX2-0;;;L227072 - C;Kalacak;;
00771-200;L228595-0;;;L228595 ;Kalacak;;
00671-100;L228964LX2-0;;;L228964_B;Kalacak;;
00784-100;L229202-0;;;L229202-A;Kalacak;;
00785-100;L229207-0;;;L229207;;2;
00755-200;L231548-0;;;L231548_A;Kalacak;;
00930-200;L231950-0;;;L231950;Kalacak;;
00931-100;L232584-0;;;L232584;Kalacak;;
00789-100;L232623-0;;;L232623;Kalacak;;
00790-200;L232978-0;;;L232978;Kalacak;;
00663-200;L232979-0;;;L232979 ;Kalacak;;
00780-200;L234105-0;;;L234105-B;Kalacak;;
00781-200;L234107-0;;;L234107-B;Kalacak;;
00786-100;L236230-0;;;L236230-A;Kalacak;;
00670-100;N379295-0;;;N 379295;Kalacak;;
00768-100;R111007-0;;;R111007;Kalacak;;
00697-200;R176471-0;;;R176471-A;Kalacak;;
00669-100;R311934-0;;;R311935;Kalacak;;
00666-200;R551490-0;;;R551491;Kalacak;;
00679-200;R556472-0;;;R556472;;;5
00741-100;R560061-0;;;R560061_D;Kalacak;;
00747-200;R560247-0;;;R560247-D;Kalacak;;
00944-100;T152877C-0;;;T152877C;Kalacak;;
00943-100;T165056C-0;;;T165056C;Kalacak;;
00659-100;Z12668-0;;;Z12668-C;;;5
34443-100;25800PNB01_U-0;;;015502;Kalacak;;
34444-100;25800PNA01_U-0;;;015379;Kalacak;;
36059-200;0101020040-0;;;0101020040;Kalacak;;
01203-100;253894-0;;;394.075-04.001.10-01/02-02;;2;
01204-100;254032-0;;;394.075-05.001.10-01/06-06;;2;
01205-100;254393-0;;;394.075-02.010.10-01/04-04;;2;
01206-100;254286-0;;;394.075-03.001.10-01/03-03;;;5
01207-100;130115-0;;;865.026-01.001.01-01/00;;;
01208-100;128135-0;;;865.024-01.001.01-01/01;;;
01209-100;275617-0;;;394.075-02.090.10-01/02-02;;;5
01210-100;277804-0;;;403.700-68.310.00-02/04-04;;2;
01211-100;277803-0;;;403.700-68.310.00-01/05-05;;2;
01212-100;248507-0;;;865.031-21.001.00-01/01-01;;2;
01213-100;248506-0;;;865.031-21.002-00-01/01-01;;;5
01214-100;264644-0;;;394.076-01.001.41-11/03-03;Kalacak;;
01215-100;283148-0;;;394.081-04.001.10-01/01;;2;
01216-100;281700-0;;;394.081-05.001.10-11/01-01;;2;
40765-200;11725-0;;;0054-003-I;;2;
01218-100;178728-0;;;394.056-05.001.10-01/06-06;;2;
01219-100;126699-0;;;865.023-01.002.01-01/01;;2;
01220-100;166480-0;;;394.058-03.001.10-01/02-02;;;
01221-100;310181-0;;;394.084-02.001.10-01/03;Kalacak;;
01222-100;310188-0;;;865.032-08.001.01-01;;;
01223-100;311369-0;;;394.085-01.001.40-21/00-00;;;5
01224-100;317786-0;;394.085-05.001.10-01/04;394.085-05.001.10-01/04;;2;
01225-100;317914-0;;;394.085-02.001.10-01/06;;2;
01226-100;214563-0;;;394.070-03.001.10-01|01;Kalacak;;
01228-100;130100-0;;;394.044-04.001.40-01/00;Kalacak;;
01229-100;130020-0;;;394.044-04.001.30-01/00;Kalacak;;
01234-100;327988-0;;;394.085-04.001.20-01 | 04;;2;
01236-100;344848-0;;;865.032-01002.01-01 | 00;;;
01237-100;166700-0;;;394.058-02.001.10-01 | 03;;;
01238-100;167810-0;;;394.058-02.001.30-11 | 01;;;
01239-100;167022-3;;;394.058-02.001.40-11 | 00;;;
01240-100;166490-3;;;394.058-05.001.10-01 | 03;;;
01241-100;167700-0;;;394.058-04.001.50-01 | 00;;;
01242-100;166485-0;;;394.058-04.001.10-01 | 03;;;
01244-100;354257-0;;;394.090-02.011.10-01 | 02;;2;
01245-100;352049-0;;;865.031-21.012.00-01 | 00;Kalacak;;
01246-100;351791-0;;;404.101-60.000.13-01 | 00;Kalacak;;
01247-100;351793-0;;;404.101-60.000.14-01 | 02;Kalacak;;
01248-100;351389-0;;;404.101-13.002.10-01 | 00;Kalacak;;
01249-100;352460-0;;;404.101-60.000.16-01 | 00;Kalacak;;
01250-100;351792-0;;;404.101-60.000.12-01 | 03;Kalacak;;
01251-100;352132-0;;;404.101-60.000.15-01 | 01;Kalacak;;
01252-100;317688-0;;;394.076-03.022.10-01 | 00;;2;
01253-100;328961-0;;;394.086-03.001.10-01 | 00;;2;
01254-100;314791-0;;;394.090-05.001.10-01 | 02;Kalacak;;
01256-100;395128-0;;;394.092-05.100.10-01 | 00;;;
01257-100;395177-0;;;394.092-02.100.10-01 | 01;;2;
01258-100;391903-0;;;394.092-03.010.10-01 | 01;Kalacak;;
01259-100;329231-0;;;394.086-02.001.10-01 | 03;;2;
01260-100;402232-0;;;394.092-02.130.10-01 | 01;Kalacak;;
01261-100;402287-0;;;394.092-02.140.10-01 | 01;Kalacak;;
01262-100;404205-0;;;394.092-01.130.66-11 | 01;Kalacak;;
01263-100;404226-0;;;394.092-01.130.55-11 | 02;;2;
01264-100;407022-0;;;865.033-22.003.00-01 | 00;Kalacak;;
01265-100;402767-0;;;404.101-43.001.03-00 | 00;Kalacak;;
01266-100;402075-0;;;404.101-62.006.03-00 | 00;Kalacak;;
01267-100;408517-0;;;404.101-12.000.11-00 | 0;Kalacak;;
01268-100;405957-0;;;394.094-02.100.10-01 | 01;Kalacak;;
01269-200;411125-0;;;394.094-02.100.20-01 | 00;;2;
01270-100;405710-0;;;394.094-05.100.10-01 | 01;Kalacak;;
01271-100;419300-0;;;404.101-12.000.51-00 | 00;Kalacak;;
01272-100;419301-0;;;404.101-12.000.53-00 | 04;Kalacak;;
01273-100;402944-0;;;404.101-60.000.01-03 | 02;Kalacak;;
01274-100;402921-0;;;404.101-60.000.02-01 | 00;Kalacak;;
01275-100;405920-0;;;404.101-12.000.03-00 | 02;Kalacak;;
01276-100;406616-0;;;394.094-02.160.10-0 |00;Kalacak;;
01277-100;402909-0;;;404.101-60.000.01-01 | 00;Kalacak;;
01278-100;440912-0;;;865.031-21.015.00-01|01;Kalacak;;
01279-100;440236-0;;;394.092-01.500.66-11;Kalacak;;
01280-100;443697-0;;;394.092-03.400.10-01 | 01;Kalacak;;
01281-100;403260-0;;;404.101-30.020.03-00//403260;Kalacak;;
01282-100;448355-0;;;404.101-30.020.05-04|00//448355;Kalacak;;
01700-100;1101/13-0;;;1101/13;;;
01701-100;4301/13-0;;;4301/13;;;
01702-100;3301/13-0;;;3301/13;;;
01703-100;NTC-AF-15-003-01-0;;;NTC-AF-15-003-01;;;
01704-100;NTC-AF-15-003-02-0;;;NTC-AF-15-003-02;;;
01705-100;Modellplatte 167*107*13-0;;;Modellplatte 167*107*13;;;
01706-100;12335-00-61601-50-0;;;12335-00-61601-50;;;
01707-100;12335-01-61301-50-0;;;12335-01-61301-50;;;
01708-100;12335-02-61301-50-0;;;12335-02-61301-50;;;
01709-100;12335-03-61301-50-0;;;12335-03-61301-50;;;
01710-100;12335-04-61301-50-0;;;12335-04-61301-50;;;
01711-100;12335-05-61301-50-0;;;12335-05-61301-50;;;
01712-100;12335-06-61301-50-0;;;12335-06-61301-50;;;
01713-100;12335-07-61301-50-0;;;12335-07-61301-50;;;
01714-100;12335-08-61301-50-0;;;12335-08-61301-50;;;
70052-100;5-8135-1000-0;5-8135-1000-3;;GB1315-H2CB#2;;;5
70057-100;5-8126-1014-0;5-8126-1014-3;;GB1314-1C;;;5
70058-200;5-6000-1096-0;5-6000-1096-3;;GB1539-G1;;;
70050-100;5-8126-1007-0;5-8126-1007-3;;GB1314-1B;;;
70050-200;XBRINKMANN-3;#YOK;#YOK;#YOK;;;
70051-100;5-8126-1008-0;5-8126-1008-3;;GB1314-1B;;;
70053-200;5-8122-1002-0;5-8122-1002-3;;GB1314-2;;;
70054-100;5-6126-1013-0;5-6126-1013-3;;GB1314-1C;;;
70055-200;5-6010-1096-0;;;GB1508-11;;;
70056-200;5-6010-1097-0;;;GB1508-10;;;
70059-200;5-6000-1111-0;;;GB1562A-1;;;
00900-100;107.2760.9000-0;;;107 27 60;;;5
00901-100;109.0960.9000-0;;;109 09 60;;;5
00902-200;109.2210.9000-0;;;109 22 10;;;5
00903-100;142.3360.9000-0;;;142 33 60;;;5
00904-100;155.0850.9000-0;;;155 08 50;;;5
00905-100;191.0250.0000-0;;;191 02 50;;;5
00906-100;191.0450.0000-0;;;191 04 50;;;5
00907-100;191.0650.0000-0;;;191 06 50;;;5
00908-100;141.6960.9000-0;;;141 69 60;;;
00909-100;141.2850.9000-0;;;141 28 50;;;5
00910-100;108.1360.9000-0;;;108 13 60;;;5
00911-100;141.0250.9000-0;;;141 02 50;;;5
00912-200;109.2610.9000-0;;;109 26 10;;;5
00913-200;109.0910.9000-0;;;109 09 10;;;5
00914-100;123.4660.9000-0;;;123 46 60;;;5
00915-100;105.6860.9000-0;;;105 68 60 ;;;5
00916-100;109.1260.9000-0;;;109 12 60;;;5
00917-100;141.2450.9000-0;;;141 24 50;;;5
00918-100;105.0960.9000-0;;;105 09 60;;;5
40002-200;2024415-0;2054614-3;;TD2024415-04;;2;
40005-200;2030657-0;2030989-3;;2030657;;2;
40007-200;2030684-0; ;;2030684-04;Kalacak;;
40008-200;2041192-0;2054613-3;;TD2041192-04;;2;
40032-200;2068625-0; ;;TD2068625-03;;2;
40052-200;2080451-0; ;;2080451-01;;2;
40055-200;2080252-0;;;;;2;
40056-200;2066337-0;;2066337-03;2066337-03;;2;
40068-200;2034339-0;;;2034339-03;Kalacak;;
40077-200;2028352-0;;;2028352-04;Kalacak;;
40078-200;2028360-0;;;2028360-02;Kalacak;;
40080-200;2034576-0;;;2034576-02;Kalacak;;
40082-200;2133643-0;;;2133643-01;Kalacak;;
40083-200;2144183-0;;;2144183.02;Kalacak;;
40095-200;2169025-0;;;2169025.04;Kalacak;;
40131-200;2034658-0;;;2034658-02;Kalacak;;
40132-200;2034312-0;;;2034312-02;;2;
40133-200;2034322-0;;;2034322-03;;2;
40139-200;2034326-0;;;2034326.2;Kalacak;;
40141-200;2185923-0;;;2185923.A1;Kalacak;;
40320-200;2085571-0;;;2085571-02;;2;
40333-200;2185910-0;;;2185910.05;Kalacak;;
40334-200;2185941-0;;;2185941-03;Kalacak;;
40335-200;2185928-0;;;2185928-03;Kalacak;;
40337-200;2185954-0;;;2185954-01;Kalacak;;
40338-200;2185967-0;;;2185967-02;Kalacak;;
00791-200;91899983-0;;;91899983-C;Kalacak;;
56060-100;kgu02706-0;;;003082556.0;Kalacak;;
56022-100;kgu02560-0;;;0208 630.3;Kalacak;;
56006-100;kgu02005-0;;;0221 088.0;;2;
56046-100;kgu0202401-0;;;0221 093.0;Kalacak;;
56012-100;kgu02300-0;;;0221 161.0;Kalacak;;
56013-100;kgu02301-0;;;0221 162.0;Kalacak;;
56016-100;kgu02302-0;;;0221 163.0;Kalacak;;
56017-100;kgu02303-0;;;0221 164.0;Kalacak;;
56019-100;kgu02567-0;;;0221 201.0-1/1807 590.1;Kalacak;;
56021-100;kgu02569-0;;;0221 201.0-2/1807 591.1;Kalacak;;
56020-100;kgu02568-0;;;0221 201.0-3/ 1807 139.2;Kalacak;;
56011-100;kgu02466.2-0;;;0221 247.2-1;Kalacak;;
56010-100;kgu02465.2-0;;;0221 247.2-2 ;Kalacak;;
56007-100;kgu02548.1-0;;;0221 248.1;Kalacak;;
56023-100;kgu02462-0;;;0221 269.0;Kalacak;;
56001-100;kgu02307-0;;;0221 271.0;Kalacak;;
56002-100;kgu02482-0;;;0221 462.0;;2;
56003-100;kgu02481-0;;;0221 506.0;;2;
56005-100;kgu02533-0;;;0223 505.0;Kalacak;;
56004-100;kgu02312-0;;;02624 536.0;Kalacak;;
56014-100;kgu02072-0;;;1.864.7001.00;Kalacak;;
56008-100;kgu02549.1-0;;;1807 587.1;Kalacak;;
56009-100;kgu02544.1-0;;;1807 589.1;Kalacak;;
56038-100;kgu02604-0;;;20624218.1;Kalacak;;
56039-100;kgu02606-0;;;20624257.1;Kalacak;;
56041-100;kgu02608-0;;;20624259.1;Kalacak;;
56040-100;kgu02607-0;;;20627802.1;Kalacak;;
56026-100;kgu02601-0;;;206290430 / 206290560 ;Kalacak;;
56045-100;kgu0238101-0;;;270118510/200554080 ;;2;
56047-100;kgu0243801-0;;;270226890/206206270;Kalacak;;
56050-100;kgu02638-0;;;2728 308.0 / 2626807.1;Kalacak;;
56049-100;kgu0255801-0;;;2752 151.0;Kalacak;;
56048-100;kgu0255901-0;;;2752 152.0;Kalacak;;
56018-100;kgu02565-0;;;2762 066.0;Kalacak;;
56000-100;2795 589.0-0;;;2795 589.0;Kalacak;;
56044-100;kgu02626.1-0;;2921292.1-d ;2921292.1-d ;Kalacak;;
56042-100;kgu02625.1-0;;;2931686.1-e;Kalacak;;
56037-100;kgu02616-0;;;2964004.0/2963750.0;Kalacak;;
56043-100;kgu02624-0;;;2979479.1;Kalacak;;
56061-100;kgu02718-0;;;3054981.1 // 3054932.1;Kalacak;;
56062-100;kgu02719-0;;;3065371.1 // 3053348.2;Kalacak;;
56064-100;kgu02727-0;;3083926.2;3083926.2;Kalacak;;
56063-100;kgu02728-0;;;3085277.2;Kalacak;;
56034-100;kgu02609-0;;;H235296;Kalacak;;
56035-200;kgu02449-0;;;HXE119733-A;;2;
56028-100;kgu0248701-0;;;HXE131927;Kalacak;;
56029-100;kgu02490-0;;;HXE131928;;2;
56027-100;kgu02543-0;;;HXE149657-B;Kalacak;;
56025-100;kgu02599-0;;;HXE162053-A;Kalacak;;
56024-100;kgu02598-0;;;HXE164920-A;Kalacak;;
56031-200;kgu02612-0;;;HXE164923-A;;2;
56032-200;kgu02611-0;;;HXE164924-A;;2;
56057-100;kgu02671-0;;;HXE179696-C;Kalacak;;
56066-100;kgu02738-0;;;HXE184382-A;Kalacak;;
56051-100;kgu02651-0;;;HXE186061-B;Kalacak;;
56052-100;kgu02660-0;;;HXE187960-A;Kalacak;;
56068-100;kgu02752-0;;;HXE188549-A;Kalacak;;
56053-100;kgu02661-0;;;HXE188656-A;Kalacak;;
56054-100;kgu02667-0;;;HXE192117-B;Kalacak;;
56058-100;kgu02692-0;;;HXE192178-C;Kalacak;;
56059-100;kgu02702-0;;;HXE200675-A;Kalacak;;
56055-100;kgu02669.1-0;;;HXE204789-A;Kalacak;;
56056-100;kgu02670.1-0;;;HXE204790-A;Kalacak;;
56067-100;kgu02740-0;;;HXE204791-A;Kalacak;;
56065-100;kgu02739-0;;;HXE204792-A;Kalacak;;
56036-100;kgu02571-0;;;HXE46520-B;Kalacak;;
56030-200;kgu02082-0;;;HXE58645-A;;2;
56015-100;kgu02102-0;;;HXE72776;Kalacak;;
56033-200;kgu02233-0;;;HXE88932-A;;2;
48003-100;48003-100;;;;;2;
48004-100;48004-100;;;;;2;
48017-200;;#YOK;#YOK;#YOK;;;5
48021-200;;#YOK;#YOK;#YOK;;;5
48022-200;48022-200;;;;;;5
48025-200;48025-210;;;;;;
48026-200;48026-200;;;;Kalacak;;
48029-200;48029-200;;;;;2;
48034-200;48034-200;;;;;;5
48038-200;48038-200;;;;;;5
48039-200;48039-200;;;;;;5
48040-200;48040-200;;;;Kalacak;;
48041-100;;;;;;;5
48041-200;48041-200;;;;;;5
48042-200;48042-200;;;;;;5
48043-200;48043-200;;;;;;5
48044-200;48044-200;;;;Kalacak;;
48046-100;48046-100;;;;;;5
48046-200;48046-200;;;;;;5
48047-200;48047-200;;;;;;5
48049-200;48049-200;;;;;;5
48051-200;48051-200;;;;;;5
48052-200;48052-200;;;;;;5
48059-200;48059-200;;;;Kalacak;;
48064-200;48064-200;;;;;;
48067-200;48067-200;;;;;;5
48071-200;48071-200;;;;;;5
48072-200;48072-200;;;;;2;
48076-200;48076-200;;;;;2;
48077-200;48077-200;;;;Kalacak;;
48079-200;48079-200;;;;;;
48080-200;48080-200;;;;Kalacak;;
48082-100;48082-100;;;;;;
48082-200;48082-200;;;;;2;
48083-200;48082-200;;;;;2;
48086-100;48086-100;;;;;2;
48086-200;48086-200;;;;;2;
48090-200;48090-200;;;;Kalacak;;
48094-200;48094-200;;;;Kalacak;;
48098-200;48098-200;;;;Kalacak;;
48106-200;48106-200;;;;;2;
48110-200;48110-200;;;;;2;
48113-200;48113-200;;;;;2;
48115-200;48115-200;;;;;2;
48118-200;48118-200;;;;;2;
48119-200;48119-200;;;;;2;
48120-200;48120-200;;;;;2;
48121-200;48121-200;;;;;2;
48125-200;48125-200;;;;;2;
48127-200;48127-200;;;;;2;
48128-200;48128-200;;;;;;5
48141-200;;;;;;;5
48142-200;48142-200;;;;Kalacak;;
48143-200;48143-200;;;;;2;
48147-200;48147-200;;;;;2;
48148-200;48148-200;;;;;2;
48151-200;;#YOK;#YOK;#YOK;;;5
48153-200;48153-200;;;;;2;
48157-200;48157-200;;;;;2;
48160-100;48160-100;;;;;2;
48161-200;48161-200;;;;;2;
48163-200;48163-200;;;;;2;
48176-200;48176-200;;;;;;
48177-200;48177-200;;;;;;
48178-200;48178-200;;;;;;
48179-200;48179-200;;;;;;
48190-200;48190-200;;;;;;
48193-200;48193-200;;;;Kalacak;;
48312-100;48312-100;;;;;2;
48312-200;48312-200;;;;;2;
30500-100;940801-3 TÜV;0200 YD 010.01;0200 YD 010.01;YG0200.03küçük;;;
30502-100;0200 YD 013.01 OFB-3;0200 YD 012.01;0200 YD 012.01;YG0200.03büyük;;;
30503-100;0250YA009.01-0;0250YD003.01;0250YD003.01;YG0250 01A;;;
30504-100;0250YD005.01-0;0250YD005.01;0250YD005.01;YG0250 02;;;
30505-100;940501-3;940501-3;;YG0100 01;;;
30506-100;940701-0;0150 YD 001.02;0150 YD 001.02;YG 0150.01küçük;;;
30507-100;0150YD002.01 OBF-3;0150YD002.01 OBF-3;;YG0150.01 büyük;;;
30508-100;940601-0; ; ;YG0125-01;;;
30509-100;994501-3; ; ;YG0125-2;;;
70100-200;PO011001-0;PO011001-3;;S 21-42 a bis d;Kalacak;;
70101-200;PO011002-0;PO011002-3;;S 21-43 a bis b;Kalacak;;
40529-100;P-Y1905AA-0;;;42102356-A0/07;;2;
40530-100;P-Y1905BA-0;;;42102352-A0/07;;2;
00403-100;84496892.9-0;;;84496892-A;Kalacak;;
00405-200;47858369.9-0;;;47858369.9;Kalacak;;
00420-200;5169117,9-0;5169117,9-3;87542214;5169117-87542214;Kalacak;;
00421-200;5178631,9-0;5178631,9-3;;5178631.9/8760011940;Kalacak;;
00422-200;5156065-0;5156065-3;;;;;
00424-200;47124107,9-0;47124107,9-3;;;;;5
00425-200;5191785-0;5191785-3;;;;;
00426-200;5182020.0-0;5182020.0-3;;;;;
00427-200;5177838-0;5177838-3;;;;;
00428-200;5191786-0;5191786-3;;;;2;
00429-200;87327401-0;87327401-3;;87327401;Kalacak;;
00430-200;5162537-0;5162537-3;;;Kalacak;;
00432-200;87341362-0;87529947;87529947;87529947;Kalacak;;
00433-200;87341364-0;87341364-3;;87543238;;2;
00434-200;87341366-0;87600170;;87341366;Kalacak;;
00435-200;87539123-0;;;87539123;Kalacak;;
00436-200;84135224-3;87539124-3;;;;;
00437-200;87656922-0;84270396;84270396;87656922;;;5
00439-200;5185923-0;5185923.0-3;;;Kalacak;;
00442-100;47671385.9-0;;;1997394C1-B;Kalacak;;
00442-200;;#YOK;#YOK;#YOK;;;5
